Order	Order Type	Description	Revision	Main work center	Sort field	Description of functional location
101186119	PM01	6M Chck/Chng Comp Flotat First Cleaner	OUTM2501	5	CLFL001	Flotation First Cleaner
101186120	PM01	4Y C/O Draft Tube Flotation Cell		5		Draft Tube
101187834	PM01	2Y C/O B. Housing Flotation Cell		5	0330-FTA-0012	Agitator Components
101189049	PM01	4Y C/O Mech Cone Velocity	OUTM2501	5	0330-FTR-0009	Cone Velocity
101189611	PM01	2M C/O Sleeve Filtrat Feed 0420-TKF-0021	OUTM2501	6	0420-TKF-0021	Piping & Valving
101189615	PM01	2Y C/O Bearing Assembly		5	0330-PPS-0022	Bearings
101189617	PM01	6M C/O Throatbush		5	0330-PPS-0011	Pump Feed Cycln Concntrt Rgher Scavngr 1
101189618	PM01	5Y C/O Gear Box Pump		5	0330-PPS-0148	Gearbox
101189678	PM01	1Y C/O Throat-Liners-Impeller	PROC	5	0330-PPS-0143	Pump Transfer First Cleaner Concentrate
101189679	PM01	2Y C/O Pump Assembly		6	0552-PPC-0148	Wet End
101189680	PM01	4M Maint Pump Sump Truck Scale Wash		6	0430-PPR-0066	Pump Sump Truck Scale Wash
101189746	PM01	5Y C/O Gear Reducer Flotation Cell	OUTM2502	5	0330-FTR-0005	Vertical Gear Reducer
101189787	PM01	2Y C/O Pump Assembly		7	0551-PPV-0074	Pump System
101189790	PM01	2M Chck & Regul Pump		6	0370-PPC-0012	Pump Disch Filtrate Collector Tank
101189791	PM01	3M Chck & Regul Pump Feed Filter Press		6	0420-PPS-0074	Pump System
101189792	PM01	3M Chck & Regul Pump Feed Filter Press		6	0420-PPS-0074	Pump System
101190112	PM01	5Y C/O Gear Reducer Flotation Cell	OUTM2505	5	0330-FTR-0003	Vertical Gear Reducer
101190596	PM01	3M Insp Rougher Flotation Cells	OUTM2501	5	RSFL001	Flot Rougher & Rougher Scav Row 1
101190597	PM01	3M Insp Rougher Flotation Cells	OUTM2501	5	RSFL002	Flot Rougher & Rougher Scav Row 2
101190598	PM01	3M Insp Rougher Flotation Cells	OUTM2502	5	RSFL003	Flot Rougher & Rougher Scav Row 3
101190599	PM01	3M Insp Rougher Flotation Cells	OUTM2502	5	RSFL004	Flot Rougher & Rougher Scav Row 4
101191260	PM01	3Y C/O Hydraulic Cylinder Filter		6		Closing Cylinder
101192022	PM01	6M C/O Dart Valve Feed #6-160	OUTM2501	5	0330-FTA-0006	Dart Valves
101192023	PM01	6M C/O Dart Valve discharge #10-160	OUTM2501	5	0330-FTA-0010	Dart Valve
101192024	PM01	6M C/O   Dart Valve Discharge #16-100	OUTM2501	5	0330-FTA-0016	Dart Valve
101192027	PM01	6M C/O Mech Hyd Rotation Return Filter	OUTM2501	6	0510-TMS-0004	Hydraulic Components
101192028	PM01	6M C/O Mech Hyd Rotation Return Filter	OUTM2502	6	0510-TMS-0005	Hydraulic Components
101192032	PM01	1Y C/O Mech Hydraulic Oil Return Filter		6	0410-TMS-0006	Hydraulic Components
101192038	PM01	1Y C/O Mech Hydraulic Oil Return Filter	OUTM2505	6	0340-TMS-0001	Hydraulic Components
101192970	PM01	6M Change Out Transmition V-Belt	2024W48	5	0330-PPS-0143	Drive System
101192971	PM01	6M Change Out Transmition V-Belt	2024W48	5	0330-PPS-0144	Drive System
101192972	PM01	6M Change Out Transmition V-Belt		5	0330-PPS-0145	Drive System
101192973	PM01	6M Change Out Transmition V-Belt		5	0330-PPS-0146	Drive System
101192974	PM01	6M Change Out Transmition V-Belt		5	0330-PPR-0016	Drive System
101192975	PM01	6M Change Out Transmition V-Belt		5	0391-PPR-0011	Drive System
101192976	PM01	6M Change Out Transmition V-Belt		5	0330-PPS-0139	Drive System
101192977	PM01	6M Change Out Transmition V-Belt		5	0330-PPR-0045	Drive System
101192978	PM01	6M Change Out Transmition V-Belt		5	0330-PPR-0048	Drive System
101192979	PM01	6M Change Out Transmition V-Belt		5	0391-PPR-0055	Drive System
101193080	PM01	6M Change Out Transmition V-Belt		5	0391-PPS-0067	Drive System
101193081	PM01	6M Change Out Transmition V-Belt		5	0391-PPS-0068	Drive System
101193082	PM01	6M Change Out Transmition V-Belt		5	0391-PPS-0065	Drive System
101193083	PM01	6M Change Out Transmition V-Belt		5	0391-PPS-0066	Drive System
