Order	Order Type	Description	Revision	Main work center	Sort field	Description of functional location
101222869	PM01	3Y C/O Stator 70 Cell	OUTM2501	5	0330-FTA-0022	Stator
101222871	PM01	5Y C/O Mech Driven Pulley	OUTM2501	5	0330-FTA-0001	Drive Components
101223028	PM01	6Y C/O Mech Hyd Rake Lift Valves	OUTM2506	6	0510-TMS-0005	Valves
101223029	PM01	8Y C/O Mech Hyd Direcionalt Valve	OUTM2506	6	0510-TMS-0005	Valves
101223180	PM01	6M C/O Pump		5	0330-PPR-0049	Pump System
101223244	PM01	5Y C/O Mech Bolts Torque Cage	OUTM2501	6	0410-TKF-0032	Structure
101223245	PM01	5Y C/O Mech Bolts Scraper	OUTM2501	6	0410-TKF-0032	Structure
101223246	PM01	5Y C/O Mech Tie Rod Long Rake	OUTM2501	6	0410-TKF-0032	Rakes
101223247	PM01	5Y C/O Mech Assembly Bolts Long Rake	OUTM2501	6	0410-TKF-0032	Rakes
101223248	PM01	5Y C/O Mech Tie Rod Short Rake	OUTM2501	6	0410-TKF-0032	Rakes
101223249	PM01	5Y C/O Mech Assembly Bolts Short Rake	OUTM2501	6	0410-TKF-0032	Rakes
101223250	PM01	5Y C/O Mech Tie Rod Quadrature Rake	OUTM2501	6	0410-TKF-0032	Rakes
101223251	PM01	5Y C/O Mech Blades Support Bolts	OUTM2501	6	0410-TKF-0032	Rakes
101223252	PM01	5Y C/O Mech Tie Rod Long Rake		6	0340-TKF-0001	Rakes
101223253	PM01	5Y C/O Mech Tie Rod Short Rake		6	0340-TKF-0001	Rakes
101223254	PM01	5Y C/O Mech Tie Rod Quadrature Rake		6	0340-TKF-0001	Rakes
101223255	PM01	5Y C/O Mech Bolts Support Feedwell	OUTM2505	6	0340-TKF-0001	Feed Well
101223256	PM01	5Y C/O Mech Bolts Drop Box Feed	OUTM2505	6	0340-TKF-0001	Drop Box
101223257	PM01	5Y C/O Mech Assembly Bolts Short Rake	OUTM2505	6	0340-TKF-0001	Rakes
101223369	PM01	4M Maint Press Filter Cu Concentrate	OUTF2501	6	0420-FLA-0004	Press Filter Cu Concentrate Horizontal
101223371	PM01	4M Chck Syst & Comp Cvy Belt Filter Cake	OUTF2501	6	0420-CVB-0026	Conveyor Belt Filter Cake Discharge
101223508	PM01	6M C/O Pinch Valve Sleeve	OUTY2501	6	0370-FTC-0006	Piping & Valving
101223509	PM01	6M C/O Pinch Valve Sleeve	OUTY2501	6	0370-FTC-0003	Piping & Valving
101223510	PM01	6M C/O Pinch Valve Sleeve	OUTY2501	6	0370-FTC-0004	Piping & Valving
101223511	PM01	6M C/O Pinch Valve Sleeve	OUTY2501	6	0370-FTC-0005	Piping & Valving
101223671	PM01	3Y C/O Mech Filter Vibration Damper	OUTF2502	6	0420-FLA-0002	Frame
101223672	PM01	2Y C/O Mech Filter Plates Blocks Inf	OUTF2501	6	0420-FLA-0002	Filter Plates
101223673	PM01	2Y C/O Mech Filter Plates Links Sup	OUTF2603	6	0420-FLA-0004	Filter Plates
101223827	PM01	5Y C/O Mech Filter Shaker Vibration		6		Shaker Mechanism
101224784	PM01	1Y C/O Pump		5	0330-PPR-0043	Pump Sump Flotation Cell Row 1 & 2
101224785	PM01	1Y C/O Pump		5	0330-PPR-0044	Pump Sump Flotation Cell Row 3 & 4
101225417	PM01	1Y C/O Dart Valve Cell		5		Dart Valves
101227746	PM01	2M C/O Sleeve 18in Pinch Valve 9452		6	0510-TKF-0027	Thickener Tailings 2
101228913	PM01	6M Change out Transmition V-Belt		5	0391-PPR-0011	Drive System
101229028	PM01	3Y C/O Disperser Cell	PROC-P	5	0330-FTR-0012	Disperser
101229029	PM01	3Y C/O Disperser Cell	PROC-P	5	0330-FTR-0023	Disperser
200722251	PM02	"Valv man 2132V182 (36"") deja pasar agua"	OUTM2502	7	2132-V-182	Fresh Water Pump Station 3
200752016	PM02	0430-CVB-0027 compra & cambio polines	OUTM2501	6	0430-CVB-0027	Conveyor Feed Concentrate Stockpile
200770839	PM02	Compra repuestos PPV-0034	PROC	7	2132-PPV-0034	Pump High Press Pump Station 1
200783433	PM02	0510-TKF-0026 cambio Spool/Vitaulic SP13	PROC-P	6	0510-TKF-0026	Thickener Tailings 1
200789346	PM02	0510-LAL-0035 Reparacion.	OUTM2501	6	0510-LAL-0035	Launder Final Tailing
200791902	PM02	0370-DRE-0001-007 V?LVULA DOBLADA	OUTY2501	6	0370-DRE-0001	Valving
200798166	PM02	0420-AGA-0021 POLEA MOTRIZ ROTA	OUTM2501	6	0420-AGA-0021	Agitator
200800143	PM02	0420-FLA-0003 Cambio de tuber›a.	OUTF2501	6	0420-FLA-0003	Piping & Valving
200800144	PM02	0420-FLA-0004 Cambio de tuber›a.	OUTF2501	6	0420-FLA-0004	Piping & Valving
200805936	PM02	0330-PPS-0148 CambioTuber›a SP-03	PROC-P	5	0330-PPS-0148	Piping & Valving
200811896	PM02	C/o spool descarga TKF 26 linea 01 SP13	PROC-P	6	0510-TKF-0026	Thickener Tailings 1
200811899	PM02	c/o spool descargaTKF26, linea 01, SP14	PROC-P	6	0510-TKF-0026	Thickener Tailings 1
200812794	PM02	Srvc mantto integral sistema HD 370FLA01	OUTY2502	6	0370-FLA-0001	Hydraulic Press Unit
200815237	PM02	COMP DE  JUNTA ROTATORIA DE HOLO-FLITE	OUTY2502	6	0370-DRE-0001	Dryer Final Moly
200815984	PM02	REX_Rep Motores y Bote Zodiac	REP_COMP	7	551	Tailing Dam Reclaim Water
200822197	PM02	INSP. JUNTAS EXPANSION PPC0129 @ 0132	OUTM2505	6	TATH004	Thickener Overflow Reclaim Water
200822700	PM02	C/O Mangas Sup Colector 0430-DCB-0026	PROC-P	6	0430-DCB-0026	Dust & Gas Collector Filter Cake Loadout
200822702	PM02	C/O Mangas Sup Colector 0430-DCB-0027	2024W48	6	0430-DCB-0027	Dust & Gas Collector Filter Cake Loadout
200824834	PM02	C/O of pipe SP-20/SP-33/SP-39/SP-44/46	OUTM2501	5	0330-PPS-0021	Piping & Valving
200824849	PM02	0330-FTA-0004 REPARAR DEFLECTOR	OUTM2501	5	0330-FTA-0004	Structure
200824851	PM02	0330-FTA-0005 REPARAR DEFLECTOR	OUTM2501	5	0330-FTA-0005	Structure
200824853	PM02	0330-FTA-0007 REPARAR DEFLECTOR	OUTM2501	5	0330-FTA-0007	Structure
200824854	PM02	0330-FTA-0009 DEFLECTOR PERDIDA DE PERNE	OUTM2501	5	0330-FTA-0009	Structure
200824880	PM02	0330-FTA-0012 REPARAR DEFLECTOR	OUTM2501	5	0330-FTA-0012	Structure
200824881	PM02	330-FTA-0013 REPOSICION DE DEFLECTOR N?7	OUTM2501	5	0330-FTA-0013	Structure
200824885	PM02	0330-FTA-0015 REPARAR DEFLECTOR	OUTM2501	5	0330-FTA-0015	Structure
200824887	PM02	0330-FTA-0016 REPARAR DEFLECTOR	OUTM2501	5	0330-FTA-0016	Structure
200828428	PM02	C/O codo descarga bomba 0420-PPR-0062	2024W47	6	0420-PPR-0062	Pump Sump Filtrated Water Area
200828502	PM02	0330-FTA-0001 CAMBIO DE DEFLECTORES	OUTM2501	5	0330-FTA-0001	Cell 1 First Cleaner
200828507	PM02	Insp & camb condic. deflect cleaner scav	OUTM2501	5	0330-FTA-0010	Structure
200828838	PM02	c/o revestimiento chute descarga FLA-002	OUTF2501	6	0420-FLA-0002	Press Filter Cu Concentrate Horizontal
200828878	PM02	c/o revestimient compuert desca 420FLA04	OUTF2501	6	0420-FLA-0004	Structure
200828900	PM02	c/o revestimient compuert desca 420FLA03	OUTF2501	6	0420-FLA-0003	Structure
200834146	PM02	REX_Rep Bomba VIT-FF 16X18HXC	REP_COMP	7	0551-PPV-0075	Pump Tailing Dam Reclaim Water
200837234	PM02	cambio de spools  340-pps-0025	OUTM2501	6	0340-PPS-0025	Pump Underflow Concentrate Thickener
200837239	PM02	cambio de spools  340-pps-0026	OUTM2501	6	0340-PPS-0026	Pump Underflow Concentrate Thickener
200837271	PM02	cambio de spools  410-pps-0124	OUTM2501	6	0410-PPS-0124	Pump Underflow Cu Concentrate Thickener
200838745	PM02	C/O Bomba 0370-PPC-0010	PROC-P	6	0370-PPC-0010	Pump Feed NaHS
200838746	PM02	C/O Bomba 0370-PPC-0009	PROC-P	6	0370-PPC-0009	Pump Unloading NaHS
200843170	PM02	"C/O 2 valve 3"" mariposa salida 370CPC001"	PROC-P	6	0370-CPC-0001	Compressor Components
200844022	PM02	c/o valve cuchill transfdescar 410PPS124	PROC-P	6	0410-PPS-0124	Valve
200844197	PM02	c/o partes humedas bomba 370PPR0010	PROC-P	6	MOFI001	Filtration Moly Concentrate
200847163	PM02	Cambio de sellos	PROC-P	5	0393-CCW-0016	Water Cooling System Air Compressors
200847201	PM02	"Cambio de Valvula Pinch 3"""	2024W43	5	0330-SAL-0027	Sampler Splitter Rougher Feed
200849835	PM02	Mtto Correctivo Monorriel 0430-CNH-0068	PROC-P	6	0430-CNH-0068	Hoist Concentrate Stockpile Conveyor
200851102	PM02	0420-CVB-0025 Cambio de polines.	PROC	6	0420-CVB-0025	Conveyor Belt Filter Cake Discharge
200851540	PM02	Mtto Correctiv Grua Torre 0330-CNT-0003	PROC-P	5	0330-CNT-0003	Crane Tower Regrinding
200851541	PM02	Mtto Correctiv Grua Torres 0330-CNT-0001	PROC-P	5	0330-CNT-0001	Crane Tower Flotation
200854172	PM02	Mantenimiento de PPR-0063	2024W48	6	0370-PPR-0063	Pump Sump Flotation Area
200855597	PM02	Mtto Correctivo Monorriel 0340-CNH-0039	PROC-P	6	0340-CNH-0039	Trolley & Hoist Mnt Thckener Concentrate
200855837	PM02	REX_Rep Bomba 2132-PPV-0034	REP_COMP	7	2132-PPV-0034	Pump High Press Pump Station 1
200856004	PM02	0330-PPS-0148 Cambio de Spool 04	PROC-P	5	0330-PPS-0148	Piping
200856006	PM02	0330-PPS-0147 Cambio de Spool 13	PROC-P	5	0330-PPS-0147	Piping
200856009	PM02	0330-PPS-0147 Cambio de Spool 43	OUTM2501	5	0330-PPS-0147	Piping
200856013	PM02	0330-PPS-0147 Cambio de Spool 46	OUTM2501	5	0330-PPS-0147	Piping
200860854	PM02	Mtto Correctivo 0410-CNH-0108	PROC-P	6	0410-CNH-0108	Trolley & Hoist Mnt Cu Thcknr Concntrate
200861556	PM02	C/O Valv 0921V0136 / 0921V0444	2024W40	7	0921-TKF-0057	Tank Fresh & Fire Water Storage
200861590	PM02	c/o partes humedas 370PPS0037	PROC-P	6	0370-PPS-0037	Wet End
200862315	PM02	ambio sello y Manguito SKF Speedi-Sleev	PROC-P	5	0330-FTR-0018	Drive System
200863112	PM02	0430-FAC-0043 Chumacera lado acople.	PROC-P	6	0430-FAC-0043-M1	Motor Electric
200865510	PM02	C/O bomba hidraulica 0370FLA0001	OUTY2501	6	0370-FLA-0001	Piping & Valving
200866828	PM02	Chck & Insp valvula bermad PSV-09255	OUTM2501	6	TATH002	Thickener 1
200867400	PM02	"c/o valv cuchilla manua 14"" 510-SUU-0036"	OUTM2501	6	0510-SUU-0036	Tank
200872664	PM02	Cambo valvula check blower 2	PROC-P	5	0330-CPB-0002	Blower Air System 2 Cleaner Cells
200872887	PM02	Cambio valvula direccional FTR27/26/24.	2024W45	5	0330-FTR-0027	Gearbox
200877612	PM02	0430-CVB-0027 Cambio de polines.	OUTM2501	6	0430-CVB-0027	Conveying System
200878344	PM02	0330-FTR-0013 Reparacion wearing Rotor.	OUTM2407	5	0330-FTR-0013	Disperser
200881596	PM02	"Valvulas manuales purga de 3""TKF26/27"	OUTM2501	6	THICKENERS TAILINGS	Thickeners Tailings
200881652	PM02	C/o vﬂlvula succiæn 0510-PPC-0129	OUTM2501	6	0510-PPC-0129	Piping & Valving
200881664	PM02	"Cambio 2 valvulas cuchilla 14"" 420TKF21"	OUTM2501	6	0420-TKF-0021	Piping & Valving
200881946	PM02	"cambio 2 valvulas mariposa 4""-6""370PPC05"	2024W47	6	0370-PPC-0005	Piping & Valving
200882012	PM02	CAMBIO DE BASE PORTARODAMIENTO	OUTM2501	5		Structure
200882321	PM02	Cambio de componentes internos bomba 5x4	PROC-P	5	CSFL001	Flotation Cleaner Scavenger
200882361	PM02	c/o Mantenimiento integral 370CVB-0023	OUTY2501	6	0370-CVB-0023	Conveyor Slat Moly Loadout
200883102	PM02	0330-FTR-0023 Cambio de sello y manguito	2024W48	5	0330-FTR-0023	Gearbox
200883310	PM02	0330-FTA-0011 Reparacion de deflectores	OUTM2501	5	0330-FTA-0011	Agitator Components
200883436	PM02	Sv. Instalacion Luz de Obstaculo	PROC-P	5	0330-CNT-0001	Crane Tower Flotation
200884413	PM02	C/O Valvula 6in salida Secador	2024W42	5	0393-DRA-0005	Dryer Air Instrument Conc Plant
200884455	PM02	0330-PPS-0014 Compra de visor.	PROC-P	5	0330-PPS-0014	Gearbox
200885358	PM02	0370-PPS-0041 Cambio de portarodamiento	PROC-P	6	0370-PPS-0041	Drive System
200886296	PM02	Compra de revestimiento lado succiæn y p		5	0330-PPS-147	Flotation Second Cleaner
200886970	PM02	C/O vﬂlvula distri/contrabalanc 340TMS01	OUTM2501	6	0340-TMS-0001	Hydraulic Components
200887761	PM02	Inspeccion pernos y nivelaciæn de vigas	OUTM2408	5	0330-FTA-0022	Structure
200888571	PM02	reparacion bomba 370PPC0130	PROC-P	6	0370-PPC-0130	Wet End
200889362	PM02	"C/O valve cuchilla 6"" 510PPS186 drenaje"	PROC-P	6	0510-PPS-0186	Valve
200889364	PM02	"C/O valvula de 6"" 0510PPS0185"	PROC-P	6	0510-PPS-0185	Valve
200889367	PM02	check&component bomba 0510PPS0185	2024W48	6	0510-PPS-0185	Wet End
200889372	PM02	C/O Valve manual 510V219 TKF27 tunel	PROC-P	6	0510-PPS-0186	Pump Tailings Recirculation
200889373	PM02	C/O voluta 0370PPS0041	PROC-P	6	0370-PPS-0041	Wet End
200889601	PM02	Cambio de grommets	OUTM2501	5		Piping & Valving
200892027	PM02	Mantenimiento de preservaciæn de Reducto	PROC	5	0330-FTR-0021	Gearbox
200892029	PM02	Cambio de polea conducida de transmisiæn	PROC-P	5	0330-FTR-0022	Drive System
200893274	PM02	C/O valvulas cuchill succiæn 420PPC48/49	OUTM2501	6	0420-PPC-0049	Piping & Valving
200893817	PM02	0370-PPS-0036 Cambio de Portarodamiento.	PROC-P	6	0370-PPS-0036	Drive System
200894657	PM02	"0330-CSC-0005 Cambio de Ciclæn  ""H"""	2024W41	5	0330-CSC-0005	Cyclone Rougher Regrind 7
200894682	PM02	"0330-CSC-0005 cambio de Ciclæn  ""I"""	2024W41	5	0330-CSC-0005	Cyclone Rougher Regrind 8
200895089	PM02	Manguerote descarrga de cal da±ado		5	0392-TKS-0082	Tank Components
200895126	PM02	"Cambio de la vﬂlvula de descarga de 6"""	PROC-P	5	0330-PPS-0139	Pump Circulation Lime Surge Tank
200895681	PM02	0510-SUU-0007 CAMBIO DE TUBERIA TAPON	OUTM2501	6	0510-SUU-0007	Box Distributor Tailing Thickener Feed
200895740	PM02	Valvulas requieren su reparacion 2132- 3	OUTM2501	7	2132 N?3	Fresh Water Pump Station 3
200895960	PM02	armado de placas stnc by		6	0420-FLA-0002	Press Filter Cu Concentrate Horizontal
200896533	PM02	"Instalaciæn 120m manguera 300 psi x 1.5"""		5	CLFL001	Flotation First Cleaner
200897641	PM02	Inspecciæn por baja eficiencia de bombeo	PROC-P	6	0340-PPR-0004	Pump Sump Concentrate Thickener
200897947	PM02	Armado de rotor		5	0330-FTR-0022	Rotor
200898669	PM02	c/o acople lado Motor electric 510PPC130	PROC	6	0510-PPC-0130	Drive System
200899177	PM02	Cambio de valvulas de sello de agua	PROC-P	5	0330-PPS-0010	Pump Rougher Concentrate Mill Product
200900175	PM02	0420-FLA-0004 CAMBIO TUBERIA DRENAJE	OUTF2501	6	0420-FLA-0004	Piping & Valving
200900392	PM02	0420-FLA-0002 CAMBIO DE TUBERIA DRENAJE	OUTF2501	6	0420-FLA-0002	Piping & Valving
200900393	PM02	0420-FLA-0003 CAMBIO TUBERIA DRENAJE	OUTF2501	6	0420-FLA-0003	Piping & Valving
200902375	PM02	Cambio de raspadores 0391-ZMB-0001-01	PROC-P	5	0391-ZMB-0001-01	Belt Feeder Lime Weight
200902377	PM02	Compra de sello y Manguito	PROC	5	0330-FTR-0022	Gearbox
200903689	PM02	cambio de mangueras para analizadores -		5	FLSS001	Samplers & Analyzers
200903822	PM02	Cambio de componentes de ciclon D y H	PROC-P	5	0330-CSC-0006	Cyclone Cluster Ro-Scavenger Regrind 4
200904064	PM02	c/o valvula 0510V-086/FLUSHING	PROC-P	6	510-TKF-0026	Structure
200904067	PM02	C/O empaques alta temp 0370DRE0001-12	OUTY2501	6	0370-DRE-0001	Piping & Valving
200904315	PM02	0330-ZPS-0001 CAMBIAR IMPULSOR	PROC-P	5	0330-ZPS-0001	Analyzer Components
200904396	PM02	Cambio de correas de transmisiæn	PROC	6	0420-PPC-0049	Drive System
200905127	PM02	Cambio sellos, inspecciæn interna	PROC-P	5	0393-CCW-0016-03	Pump Water Cooling Unit
200905752	PM02	"c/o valve cuchilla 4"" columna  370FTC07"	PROC-P	6	0370-FTC-0007	Piping & Valving
200905814	PM02	Cambio spool SP17	OUTF2501	6	0420-FLA-0004	Press Filter Cu Concentrate Horizontal
200908157	PM02	Necesitamos comprar 02 bombas PPD 74 la		5	0392-PPD-0074	Pump Frother Addition
200908433	PM02	Cambio de Grommets	OUTM2503	5		Dart Valves
600001540	PM06	TAILINGS DEPOS.& RECL. WATER IMPR. (IMP)		5	RECLAIM WATER	Reclaim Water
